Comparison,Covariate,Covariate Type,Treatment Value/Proportion,Control Value/Proportion,SMD,Absolute SMD,Heuristic Assessment
Mens E-Mail vs No E-Mail,"history_segment: 6) $750 - $1,000",categorical level,0.030224808748298682,0.029193654369661128,0.0060733601228462305,0.0060733601228462305,Below 0.10 heuristic
Mens E-Mail vs No E-Mail,history_segment: 3) $200 - $350,categorical level,0.1919556953114,0.18980568853843988,0.005470841971244085,0.005470841971244085,Below 0.10 heuristic
Womens E-Mail vs No E-Mail,channel: Multichannel,categorical level,0.12058727264225931,0.12231296348446447,-0.005283020872802079,0.005283020872802079,Below 0.10 heuristic
Womens E-Mail vs No E-Mail,recency,continuous,5.767849628278861,5.749694921618324,0.005180013205688683,0.005180013205688683,Below 0.10 heuristic
Womens E-Mail vs No E-Mail,channel: Web,categorical level,0.43736849488006735,0.4399230263775462,-0.005147984480878577,0.005147984480878577,Below 0.10 heuristic
Womens E-Mail vs No E-Mail,womens,binary,0.5501005283583486,0.5476391626771802,0.0049464298549050665,0.0049464298549050665,Below 0.10 heuristic
Mens E-Mail vs No E-Mail,mens,binary,0.5509456985967053,0.5532244438186427,-0.004582433174786321,0.004582433174786321,Below 0.10 heuristic
Mens E-Mail vs No E-Mail,history_segment: 4) $350 - $500,categorical level,0.09841836016332661,0.09969022810475922,-0.004257523375734979,0.004257523375734979,Below 0.10 heuristic
Mens E-Mail vs No E-Mail,channel: Multichannel,categorical level,0.1209461679260337,0.12231296348446447,-0.00418163455128495,0.00418163455128495,Below 0.10 heuristic
Womens E-Mail vs No E-Mail,zip_code: Rural,categorical level,0.14873521297984757,0.14732939078193935,0.0039585983245235,0.0039585983245235,Below 0.10 heuristic
Womens E-Mail vs No E-Mail,"history_segment: 7) $1,000 +",categorical level,0.020012156917753775,0.019525016427297474,0.003499474032277342,0.003499474032277342,Below 0.10 heuristic
Womens E-Mail vs No E-Mail,newbie,binary,0.5032496376303361,0.5019712756969867,0.002556760802117768,0.002556760802117768,Below 0.10 heuristic
Mens E-Mail vs No E-Mail,zip_code: Urban,categorical level,0.4018867039001267,0.4009199286585938,0.0019722778608723414,0.0019722778608723414,Below 0.10 heuristic
Womens E-Mail vs No E-Mail,zip_code: Urban,categorical level,0.40005610885117127,0.4009199286585938,-0.0017629079224844475,0.0017629079224844475,Below 0.10 heuristic
Womens E-Mail vs No E-Mail,zip_code: Surburban,categorical level,0.45120867816898114,0.4517506805594668,-0.001089145250116948,0.001089145250116948,Below 0.10 heuristic
Mens E-Mail vs No E-Mail,newbie,binary,0.5015253203172666,0.5019712756969867,-0.0008919163005142206,0.0008919163005142206,Below 0.10 heuristic
Womens E-Mail vs No E-Mail,history_segment: 1) $0 - $100,categorical level,0.3569458082012437,0.3572702525110298,-0.0006771289436280001,0.0006771289436280001,Below 0.10 heuristic
Womens E-Mail vs No E-Mail,history_segment: 5) $500 - $750,categorical level,0.07771075887221209,0.0775368440814794,0.0006499576260867136,0.0006499576260867136,Below 0.10 heuristic
